sell 0.13 | sp 0.3333 | buy -0.07 | bp 0.0000 

sell 0.13 | sp 0.3333 | buy -0.07 | bp 0.0000
sell -0.13 | sp -0.3333 | buy 0.13 | bp 0.0000 

sell -0.13 | sp -0.3333 | buy 0.13 | bp 0.0000
sell 0.10 | sp 0.2000 | buy 0.00 | bp 0.0000 

sell 0.10 | sp 0.2000 | buy 0.00 | bp 0.0000
sell -0.02 | sp 0.0000 | buy -0.05 | bp 0.0833 

sell -0.02 | sp 0.0000 | buy -0.05 | bp 0.0833
sell -0.10 | sp -0.2000 | buy 0.03 | bp -0.1667 

sell -0.10 | sp -0.2000 | buy 0.03 | bp -0.1667
sell 0.00 | sp 0.2667 | buy -0.10 | bp 0.0000 

sell 0.00 | sp 0.2667 | buy -0.10 | bp 0.0000
sell 0.37 | sp -0.2667 | buy 0.40 | bp 0.0000 

sell 0.13 | sp -0.3667 | buy -1.60 | bp 0.0000
sell -0.10 | sp 0.1667 | buy -0.20 | bp 0.0000 

sell -0.10 | sp 0.1667 | buy -0.20 | bp 0.0000
sell 0.00 | sp -0.1667 | buy 0.10 | bp 0.1000 

sell 0.00 | sp -0.1667 | buy 0.10 | bp 0.1000
sell -0.03 | sp 0.0000 | buy -0.07 | bp -0.1000 

sell -0.03 | sp 0.0000 | buy -0.07 | bp -0.1000
sell 0.30 | sp 0.1333 | buy 0.20 | bp 0.0000 

sell 0.30 | sp 0.1333 | buy 0.20 | bp 0.0000
sell -0.27 | sp -0.1333 | buy -0.20 | bp 0.0000 

sell 0.50 | sp 0.0000 | buy 0.27 | bp 0.0000
sell -0.57 | sp 0.0000 | buy -0.67 | bp 0.0000 

sell -0.57 | sp 0.0000 | buy -0.67 | bp 0.0000
sell 0.10 | sp 0.0333 | buy 0.23 | bp 0.0333 

sell 0.10 | sp 0.0333 | buy 0.23 | bp 0.0333
sell -0.07 | sp 0.4667 | buy -0.23 | bp -0.0333 

sell -0.07 | sp 0.4667 | buy -0.23 | bp -0.0333
sell 0.23 | sp -0.4333 | buy 0.23 | bp 0.0000 

sell 0.33 | sp 0.3667 | buy 0.00 | bp 0.0000
sell -0.23 | sp -0.2667 | buy 0.10 | bp 0.0333 

sell 0.07 | sp 0.0000 | buy -14.60 | bp 0.0333
sell -0.13 | sp 0.0000 | buy 0.03 | bp 0.0000 

sell 0.10 | sp -0.4333 | buy 0.10 | bp 0.0000
sell -0.17 | sp 0.1000 | buy -0.10 | bp -0.3333 

sell -0.17 | sp 0.1000 | buy -0.10 | bp -0.3333
sell 0.03 | sp -0.4000 | buy 0.00 | bp 0.1667 

sell 0.10 | sp 0.0000 | buy 0.37 | bp 0.0000
sell 0.20 | sp -0.1667 | buy -0.33 | bp 0.0000 

sell 0.20 | sp -0.1667 | buy -0.33 | bp 0.0000
sell 0.03 | sp 0.1333 | buy 0.43 | bp 0.0000 

sell 0.10 | sp 0.0000 | buy -8.23 | bp 6.0667
sell 0.07 | sp 0.3000 | buy 0.07 | bp -6.0667 

sell 0.07 | sp 0.3000 | buy 0.07 | bp -6.0667
sell -0.07 | sp -0.3000 | buy 0.07 | bp 0.0000 

sell -0.07 | sp -0.3000 | buy 0.07 | bp 0.0000
sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000 

sell 0.00 | sp 0.0000 | buy -0.07 | bp 0.0000
sell -0.07 | sp 0.0000 | buy -0.13 | bp 0.0000 

sell -0.40 | sp 1.7333 | buy -7.27 | bp 0.9667
